{%⺄1} ⿹⺄
{革下一} ⿱廿{口交土}
{音亠换二} 音
{馬王换三} ⿱{镸去𠫔}⿹𠃌灬 ⿹⿺三㇉灬
{馬王换二} ⿳一⺊⿹𠃌灬 ⿹⿺二㇉灬
{鬼去丿} ⿷⿻日{冘下}厶[G] ⿱田⿺儿厶[THJK]
{鬼去丿厶} ⿻日{冘下}[G] ⿱田儿[THJK]
{麥T} ⿱{𭝠上}{麥下}
{麥底T} ⿱{𭝠上}夊
{麥底} ⿱來夊[GJK] {麥底T}[TH]
{麦旁} ⿱龶{麥下}
{黑上} ⿻{柬中}{土先丨}
{黽上} ⿵ㄇ{⚋}
{黽中} ⿻{黽上}⿺丨乚
{黽外} ⿰{黽左下}𫜹
{黽左下} 𰀄
{齊上} ⿱亠{齊中}
{龜下} ⿻{黽中}{龜外}
{龜外} ⿰⿱{反𰀂}{反𰀂}{%コ1}㐅{%コ2}[GJKV] ⿹⿻⿻{コ}{コ}{コ}㐅[TH]
{Ｐ先丨} ⿰丨{コ}
{Ｐ先𠃍} ⿰{コ}丨
{𝍣} 亖
{𝍫中＃} ⿻{丨丨}{二交〣}
{𝍫交一} {带上}
{𝍴} ⿱一⺊
{𠀃中丨} ⿱ㄇ丄
{𠀃中人} ⿱{ㄇ中人}一
{𠀍下一} ⿱{丗T}一[GJK] ⿱丗一[TH]
{𠁁贯穿} ⿱⿰⿹{反Ｐ先𠃊}匚⿸{Ｐ先𠃍}{コ}一
{𠁅上} {%王上交1}{丿乛}{%王上交2}
{𠂇先丿} 𠂇
{𠂉下⺀} ⿱𠂉⺀
{𠂉下⺊} ⿱𠂉⺊
{𠂉下ㅒ} ⿱𠂉{ㅒ}
{𠂉下上} ⿱𠂉上
{𠂉下丨} ⿱𠂉丨
{𠂉下亅} ⿱𠂉亅
{𠂉下二} ⿱𠂉二
{𠂉下正} ⿱𠂉正
{𠂉下𠄌} ⿱𠂉𠄌
{𠂉下𰀁} ⿱𠂉𰀁
{𠂝下平} ⿻亻口
{𠂝中丷} ⿻亻{柬中}
{𠂩左G} ⿷{丿下𠃊}一
{𠃊上⺝} {%𠃊1}{⺝无钩}{%𠃊2}
{𠃊上𠔼} {%𠃊1}{ㄇ中一}{%𠃊2}
{𠃋交十} ⿻⿻𠃋丨㇀
{𠃋交十钩} ⿻⿻𠃋亅㇀
{𠃍中二} ⿹𠃍二
{𠃛无钩} ⿵ㄇ二
{𠄎中㐅} ⿹𠄎㐅
{𠄟交丨} 𰀁
{𠆣交𠃊} ⿻{旡去儿}人
{𠇎下} ⿰{一丿}⺊
{𠌆下} ⿰⿹𠃊㇇{Ｐ先𠃍} {%丿丨穿1}匚{%丿丨穿2}{コ}{%丿丨穿3}
{𠎜左} ⿵⿰⿳丨一丨𠃑⿱{⚏}一 ⿶⿰𠃎𠃊{凵中⚏}
{𠒂上} ⿰{丿下𠃊}{コ}
{𠒅上} ⿱⿰{Ｐ先丨}{反Ｐ先丨}一
{𠔼交一} ⿻冂二
{𠚒去一} ⿶⿰𠃎𠃊⿰{ㅑ}{ㅕ}
{𠤎先乚} 𠤎
{𠬝下换𰀠} ⿸{𠬝上}{𰀠右}
{𠬝又换く} ⿸{𠬝上}{飞右}
{𠬩上} ⿴{Ｐ先𠃍}丨
{𠮥下电} ⿱𠮥电
{𡈼下儿} ⿱𡈼儿
{𡊮下} ⿱𠃋𧘇
{𡊮下无提} ⿱𠃋{𧘇无提}
{𡔝下} ⿱⿹𠃍⿰𠃎𠃊丿 ⿱⿹𠃍⿰𠃊𠃎丿
{𡕒交丶} ⿻𡕒丶
{𡕒钩} ⿻{旡去儿}亅
{𡝤上} ⿻口{栆上}
{𡝽上} ⿻𠮛中
{𡳿上} ⿰丩𠃎
{𡴀歪} ⿻凵{𰀁歪}
{𡼙下} ⿱{%中丨1}仌{%中丨2}仌{%中丨3}亏
{𢆉下耳} ⿱𢆉耳
{𢌬㇄换㇂} ⿻一{丿㇂}
{𣳋右} ⿱⿹丅𠃊丄
{𣶒框换⺆} ⿵{⺆无钩}⿳⿰𠃎𠃊一⿰𠃍{Γ}
{𣷻右} {%二1}⿱⿵ㄇ⿱ㄇ一一{%二2} {%二1}⿴巳ㄇ{%二2} {%二1}⿴ㄇ巳{%二2}
{𤓯㇏换丨} ⿻丅{丿丨}
{𤓯八换ハ} ⿱一{小无钩}
{𦈢G} ⿱𠂉⿻一止
{𦈢T} ⿱𠂉⿻一{𬼉下}
{𦉫交二} ⿻冂{＃先丨}
{𦍛下} ⿱丶⿻𠃌⿰㇇乚
{𦣻穿⺽} ⿻𦣻⺽
{𦥔下一} ⿻臼丄[GKU] ⿻⺽丄[THJ]
{𦥯上框} ⺽
{𦥯爻换丨} {%𦥯去爻1}丨{%𦥯去爻2}
{𦫹右} ⿻凵十
{𦫹左} ⿻凵𠂇
{𦰩G} ⿱廿⿻口夫
{𦰩J} ⿱艹⿻口夫
{𧘇下} ⿰𠄌{𰀠右}
{𧰧去一} ⿰{𬺷去一}{𰀠右}
{𨐌歪} ⿱立{𰀁歪}
{𩵋大换儿} ⿱⺈⿻日{冘下}[G] ⿱{鱼上}儿[THJK]
{𪚦中} ⿱⿸⿱丅匚⿱𠃑一⿺丨乚
{𪚴𠂭换一} ⿻{黽中}⿰⿱{反𰀂}{反𰀂}𫜹
{𪚴𠂭换二} ⿻{黽中}⿰⿱{反𰀂}{反𰀂}𬺹
{𫜹交𰀁} ⿻𫜹𰀁
{𫯟下} ⿱䒑丨
{𫰗上} ⿱一⿻ㄇ{丨丨}
{𬎾上平} ⿻{反𰀂}{𬎾下G}
{𬎾下G} ⿻冂𰀁
{𬎾下T} ⿻⺆𰀁
{𬴘ㄇ换冖} ⿳{𠅙上}{一下ㅒ}丅
{𬺷㇏} ⿷𬺷㇏
