U+26AB4 𦪴 ⿰舟⿳巛{ㄇ中人}{%丿㇂1}⿲⺀丨⺀{%丿㇂2}
U+26D38 𦴸 ⿱艹⿰氵⿳㇇⿻丨{㇇く}一[THGJK]
U+26DE0 𦷠 ⿱艹⿰⿱{%コ1}工{%コ2}𠃊爻[THGJK]
U+27607 𧘇 ⿰{𧘇左}{𰀠右}
U+279AE 𧦮 ⿰訁⿱{コ}⿻ㄣ㇏
U+27C78 𧱸 ⿰豕⿸⺁⿱{コ中丨}目
U+2890F 𨤏 ⿱一⿶釆丄[GJK] {%コ1}釆{%コ2}[TH]
U+290CA 𩃊 ⿳⻗⺈⿰{%コ1}十{%コ2}乚[THGJK]
U+291E8 𩇨 {%丿丨穿1}⿱冫冫{%丿丨穿2}⿱{飞右}{飞右}{%丿丨穿3}
U+29B9F 𩮟 ⿱髟⿻二{%囗交1}⿻丨从{%囗交2}
U+2AC86 𪲆 ⿰木{%犮上1}⿺乚二{%犮上2}
U+2B735 𫜵 ⿱丿{ツ}
U+2B739 𫜹 {%コ1}一{%コ2}
U+2B740 𫝀 {%ユ1}丨{%ユ2}
U+2B820 𫠠 ⿻一㇂
U+2B84B 𫡋 ⿰⿳{%丨丨穿1}二{%丨丨穿2}二{%丨丨穿3}一井丮
U+2BA4F 𫩏 {%囗1}丨{%囗2}
U+2BDA7 𫶧 ⿲丿丨乚
U+2C09B 𬂛 ⿻一丨
U+2C258 𬉘 ⿲氵⿱⿳二丷冖方攵[JK] ⿰滂攵[G]
U+2C30B 𬌋 ⿱⿰{𣶒右}⿰丨⿱𠃎丅其[TH] ⿱𤕰其[G]
U+2CEB0 𬺰 ⿻一亅
U+2CEC2 𬻂 ⿻一{%丿丨1}{廿下}{%丿丨2}
U+2CEF5 𬻵 ⿱𠚤{𬾹右下}
U+2CF00 𬼀 ⿶丶丿
U+2D121 𭄡 ⿱⿻⿱十{丨丨}二力
U+2D56F 𭕯 ⿸尸⿱{%儿穿1}二{%儿穿2}二{%儿穿3}半[KGTHJ]
U+2D5B2 𭖲 ⿱⿲⿰丨匚丨⿰丨{コ}仚
U+2D5BE 𭖾 ⿳山⺷⿷儿丿[THJK] ⿱山⿷羌丿[G]
U+2D6D6 𭛖 ⿱{%丨丨穿1}彡{%丨丨穿2}三{%丨丨穿3}⿵冂{𝍬} ⿱⿲{丨丨}彡三⿵冂{𝍬}
U+2D80D 𭠍 ⿻𫠠丿
